TargetUser,OtherUser,Similarity,CommonItems
A1ER5AYS3FQ9O3,A2JCJJNY43QQIV,1.0,3
A1ER5AYS3FQ9O3,A1KEK09ZA6J9P8,1.0,2
A1ER5AYS3FQ9O3,A36AIK1DQPSRNT,1.0,2
A1ER5AYS3FQ9O3,A2CVXUY1EYQGGA,1.0,3
A1ER5AYS3FQ9O3,A5K5DIDKAML5C,1.0,2
A1ER5AYS3FQ9O3,A1Q7A78VSQ5GQ4,1.0,2
A1ER5AYS3FQ9O3,A2NICGGIGIFU22,1.0,2
A1ER5AYS3FQ9O3,A1AL4V6YVM9OHS,1.0,2
A1ER5AYS3FQ9O3,A316XO4RWX21YN,1.0,2
A1ER5AYS3FQ9O3,A2WZAANHW8G0P8,1.0,2
A1ER5AYS3FQ9O3,AB3D3IQZCMGDL,1.0,2
A1ER5AYS3FQ9O3,A2DPSV4CTHV3YA,1.0,2
A1ER5AYS3FQ9O3,AJKWF4W7QD4NS,1.0,2
A1ER5AYS3FQ9O3,A1P1UEH9PMSHXG,1.0,2
A1ER5AYS3FQ9O3,A16YMCFWGSFGS9,1.0,2
A1ER5AYS3FQ9O3,AL4SB31UAZLXL,1.0,2
A1ER5AYS3FQ9O3,A36JO8IHKYBMMJ,1.0,2
A1ER5AYS3FQ9O3,A32WDBGM8L5WBR,1.0,2
A1ER5AYS3FQ9O3,A1F92EK0MUNOVR,1.0,2
A1ER5AYS3FQ9O3,A3PEOF0GX4EN38,1.0,2
A1ER5AYS3FQ9O3,AM9APPMIE1BHZ,1.0,3
