TargetUser,OtherUser,ItemID,RawCosineSimilarity,MeanCenteredSimilarity,CommonItemsCount,TargetRating,OtherRating,TargetUserMean,OtherUserMean,TargetDeviation,OtherDeviation
A1ER5AYS3FQ9O3,A37PV5GMP2ILJC,B000RHZJN4,1.0,-1.0,2,5.0,4.0,4.295454545454546,4.113636363636363,0.7045454545454541,-0.11363636363636331
A1ER5AYS3FQ9O3,A37PV5GMP2ILJC,B000V1MLBE,1.0,-1.0,2,5.0,4.0,4.295454545454546,4.113636363636363,0.7045454545454541,-0.11363636363636331
A1ER5AYS3FQ9O3,A10ZBR6O8S8OCY,B00A6HYP1W,1.0,-1.0,2,4.0,5.0,4.295454545454546,4.516949152542373,-0.29545454545454586,0.48305084745762716
A1ER5AYS3FQ9O3,A10ZBR6O8S8OCY,B004HKJTT2,1.0,-1.0,2,4.0,5.0,4.295454545454546,4.516949152542373,-0.29545454545454586,0.48305084745762716
A1ER5AYS3FQ9O3,A20DDH4NT6Q1E8,B00E5JUEF8,1.0,-1.0,2,5.0,4.0,4.295454545454546,4.481132075471698,0.7045454545454541,-0.4811320754716979
A1ER5AYS3FQ9O3,A20DDH4NT6Q1E8,B009DYGHB0,1.0,-1.0,2,5.0,4.0,4.295454545454546,4.481132075471698,0.7045454545454541,-0.4811320754716979
A1ER5AYS3FQ9O3,A1VLVWTLV3LVHR,B00XHSI5WC,1.0,-1.0,2,4.0,5.0,4.295454545454546,4.194444444444445,-0.29545454545454586,0.8055555555555554
A1ER5AYS3FQ9O3,A1VLVWTLV3LVHR,B001CHHVCU,1.0,-1.0,2,4.0,5.0,4.295454545454546,4.194444444444445,-0.29545454545454586,0.8055555555555554
A1ER5AYS3FQ9O3,A2NICGGIGIFU22,B00XHSI5WC,1.0,-1.0,2,4.0,5.0,4.295454545454546,4.333333333333333,-0.29545454545454586,0.666666666666667
A1ER5AYS3FQ9O3,A2NICGGIGIFU22,B001CHHVCU,1.0,-1.0,2,4.0,5.0,4.295454545454546,4.333333333333333,-0.29545454545454586,0.666666666666667
A1ER5AYS3FQ9O3,A1P1UEH9PMSHXG,B000RHZJN4,1.0,-1.0,2,5.0,4.0,4.295454545454546,4.857142857142857,0.7045454545454541,-0.8571428571428568
A1ER5AYS3FQ9O3,A1P1UEH9PMSHXG,B000V1MLBE,1.0,-1.0,2,5.0,4.0,4.295454545454546,4.857142857142857,0.7045454545454541,-0.8571428571428568
A1ER5AYS3FQ9O3,A36JO8IHKYBMMJ,B000RHZJN4,1.0,-1.0,2,5.0,4.0,4.295454545454546,4.285714285714286,0.7045454545454541,-0.2857142857142856
A1ER5AYS3FQ9O3,A36JO8IHKYBMMJ,B00LLJ55XG,1.0,-1.0,2,5.0,4.0,4.295454545454546,4.285714285714286,0.7045454545454541,-0.2857142857142856
A1ER5AYS3FQ9O3,A1WY0YUS6QUQZ1,B000ER5G58,1.0,-1.0,2,5.0,1.0,4.295454545454546,2.0,0.7045454545454541,-1.0
A1ER5AYS3FQ9O3,A1WY0YUS6QUQZ1,B00029ZE2S,1.0,-1.0,2,5.0,1.0,4.295454545454546,2.0,0.7045454545454541,-1.0
A1ER5AYS3FQ9O3,AL4SB31UAZLXL,B00XHSI5WC,1.0,-1.0,2,4.0,5.0,4.295454545454546,4.5,-0.29545454545454586,0.5
A1ER5AYS3FQ9O3,AL4SB31UAZLXL,B001CHHVCU,1.0,-1.0,2,4.0,5.0,4.295454545454546,4.5,-0.29545454545454586,0.5
A1ER5AYS3FQ9O3,A1KEK09ZA6J9P8,B00XHSI5WC,1.0,-1.0,2,4.0,5.0,4.295454545454546,4.4375,-0.29545454545454586,0.5625
A1ER5AYS3FQ9O3,A1KEK09ZA6J9P8,B001CHHVCU,1.0,-1.0,2,4.0,5.0,4.295454545454546,4.4375,-0.29545454545454586,0.5625
A1ER5AYS3FQ9O3,A1AL4V6YVM9OHS,B000ER5G58,1.0,-1.0,2,5.0,1.0,4.295454545454546,3.857142857142857,0.7045454545454541,-2.857142857142857
A1ER5AYS3FQ9O3,A1AL4V6YVM9OHS,B00029ZE2S,1.0,-1.0,2,5.0,1.0,4.295454545454546,3.857142857142857,0.7045454545454541,-2.857142857142857
A1ER5AYS3FQ9O3,A5K5DIDKAML5C,B005NHTG6O,1.0,-1.0,2,5.0,4.0,4.295454545454546,4.6,0.7045454545454541,-0.5999999999999996
A1ER5AYS3FQ9O3,A5K5DIDKAML5C,B000V1MLBE,1.0,-1.0,2,5.0,4.0,4.295454545454546,4.6,0.7045454545454541,-0.5999999999999996
A1ER5AYS3FQ9O3,A1484U2Y4YFX2R,B00XHSI5WC,1.0,-1.0,2,4.0,4.0,4.295454545454546,3.3846153846153846,-0.29545454545454586,0.6153846153846154
A1ER5AYS3FQ9O3,A1484U2Y4YFX2R,B001CHHVCU,1.0,-1.0,2,4.0,4.0,4.295454545454546,3.3846153846153846,-0.29545454545454586,0.6153846153846154
A1ER5AYS3FQ9O3,A32GK89C999834,B00XHSI5WC,1.0,-1.0,2,4.0,5.0,4.295454545454546,4.5,-0.29545454545454586,0.5
A1ER5AYS3FQ9O3,A32GK89C999834,B001CHHVCU,1.0,-1.0,2,4.0,5.0,4.295454545454546,4.5,-0.29545454545454586,0.5
A1ER5AYS3FQ9O3,ARC41G0OK4HA5,B00XHSI5WC,1.0,-1.0,2,4.0,5.0,4.295454545454546,4.75,-0.29545454545454586,0.25
A1ER5AYS3FQ9O3,ARC41G0OK4HA5,B001CHHVCU,1.0,-1.0,2,4.0,5.0,4.295454545454546,4.75,-0.29545454545454586,0.25
