TargetItem,OtherItem,Similarity,CommonUsers
B000JE4594,B00000J060,-1.0,1
B000JE4594,B00009MVK8,1.0,1
B000JE4594,B0001656FW,-1.0,1
B000JE4594,B00029U0W2,-1.0,1
B000JE4594,B0002H7F3G,-1.0,1
B000JE4594,B00077AA5Q,-1.0,1
B000JE4594,B000EPLP3C,-1.0,1
B000JE4594,B000F6SR0O,-1.0,1
B000JE4594,B000FJD5IA,1.0,1
B000JE4594,B000FNR726,1.0,1
B000JE4594,B000QJGRJ8,-1.0,1
B000JE4594,B000WXSO76,1.0,1
B000JE4594,B000ZLM9IA,-1.0,1
B000JE4594,B0012ANFQS,1.0,1
B000JE4594,B0012JCYPC,-1.0,1
B000JE4594,B0015FGXZU,-1.0,1
B000JE4594,B002AUJHLG,-1.0,1
B000JE4594,B002QS0J5A,-1.0,1
B000JE4594,B003H10VUI,-1.0,1
B000JE4594,B003RH099A,-1.0,1
B000JE4594,B003S4ZJW4,1.0,1
B000JE4594,B0043T7FXE,1.0,1
B000JE4594,B004SUO1QM,-1.0,1
B000JE4594,B004ULPF50,1.0,1
B000JE4594,B005DWHR60,-1.0,1
B000JE4594,B005HMKKH4,-1.0,1
B000JE4594,B0067I4Z4Q,-1.0,1
B000JE4594,B006YLYYZ6,-1.0,1
B000JE4594,B00752R9SW,-1.0,1
B000JE4594,B00839TQIM,-1.0,1
B000JE4594,B008B6OOG6,-1.0,1
B000JE4594,B009GUL1VM,1.0,1
B000JE4594,B00AM0ESC4,-1.0,1
B000JE4594,B00B86IKXO,-1.0,1
B000JE4594,B00BLTED70,-1.0,1
B000JE4594,B00BVUNZUU,1.0,1
B000JE4594,B00C30HUQ2,-1.0,1
B000JE4594,B00EZJZFDE,1.0,1
B000JE4594,B00FSB799Q,-1.0,1
B000JE4594,B00I8Y6V9E,-1.0,1
B000JE4594,B00ID2HGP4,1.0,1
B000JE4594,B00JGUR88C,-1.0,1
B000JE4594,B00O93CDV8,1.0,1
B000JE4594,B00TQYC9PA,-1.0,1
B000JE4594,B00VRC6U2C,-1.0,1
B000JE4594,B00XIHAHKA,-1.0,1
B000JE4594,B00ZOI31K4,-1.0,1
B000JE4594,B013HNYVCE,1.0,1
B000JE4594,B013XDWTKY,-1.0,1
B000JE4594,B019U00D7K,-1.0,1
B000JE4594,B019VM3GKI,-1.0,1
B000JE4594,B01DCHOPA8,1.0,1
B000JE4594,B01DOHXWRS,-1.0,1
B000JE4594,B01ESSDBL4,-1.0,1
B000JE4594,B00005LCFZ,-1.0,1
B000JE4594,B00009V2XJ,1.0,1
B000JE4594,B000CJ480C,-1.0,1
B000JE4594,B00009A39F,-1.0,1
B000JE4594,B0002GV7J0,-1.0,1
B000JE4594,B0009EJ9X6,-1.0,1
B000JE4594,B003AVMZ5Y,1.0,1
B000JE4594,B00919TRF0,-1.0,1
B000JE4594,B00A9WVXUK,-1.0,1
B000JE4594,B00AMRS0YE,-1.0,1
B000JE4594,B01HFZ5KRA,-1.0,1
B00L38GD2W,B000CSSHG4,-1.0,1
B00L38GD2W,B000R9BMVU,-1.0,1
B00L38GD2W,B005KELQEU,-1.0,1
B00L38GD2W,B009657UWQ,1.0,1
B00L38GD2W,B00HWOUQVU,-1.0,1
B00L38GD2W,B00OLFNJXA,-1.0,1
B00L38GD2W,B014IM5QXG,-1.0,1
B00L38GD2W,B013XUS8WK,1.0,1
