ClusterID,avg_common,max_common,min_common,UserCount
0,0.1877307574363692,1.0,1.0,20
1,0.08678831565787906,1.0,1.0,1629
2,0.058043584879840376,4.8827361563517915,1.0,307
3,0.15796790350608195,29.733333333333334,1.0,15
4,0.5788776448942042,2.9,1.0,10
5,0.39441888991107016,2.0,1.0,2
6,0.18711788671310287,1.0,1.0,70
7,0.07417118130089606,10.805555555555555,1.0,72
8,0.012520021707588582,1.0,1.0,1281
9,0.336522539098436,1.0,1.0,2557
10,0.03309851425707432,1.0,1.0,651
11,0.3366184730042705,1.0,1.0,257
12,0.022804529062550302,2.1934156378600824,1.0,1458
15,0.08829463668388692,2.1976401179941,1.0,1017
17,0.4078707962792599,3.0,1.0,3
18,0.00457728783395752,1.0,1.0,814
20,0.3439017924010795,2.0,1.0,251
21,0.186843769047592,1.0,1.0,162
24,0.3367234302278519,3.3121387283236996,1.0,519
25,0.3368937866598811,1.0,1.0,94
26,0.3378387967298725,2.0,1.0,1822
27,0.02761948569676256,1.0,1.0,560
28,0.186752529898804,1.0,1.0,1236
29,0.19104266383047144,2.184122748498999,1.0,1499
